"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 10, 2019","47.29","47.07","47.32","47.00","574.44K","0.36%"
"Dec 09, 2019","47.12","46.97","47.14","46.92","316.67K","0.26%"
"Dec 06, 2019","47.00","46.93","47.05","46.83","402.07K","0.36%"
"Dec 05, 2019","46.83","46.99","47.00","46.73","547.24K","-0.06%"
"Dec 04, 2019","46.86","47.00","47.00","46.83","437.03K","-0.28%"
"Dec 03, 2019","46.99","46.78","46.99","46.73","625.94K","0.51%"
"Dec 02, 2019","46.75","46.85","47.00","46.72","545.88K","0.04%"
"Nov 29, 2019","46.73","46.64","46.91","46.64","135.76K","0.17%"
"Nov 27, 2019","46.65","46.70","46.73","46.61","423.71K","-0.02%"
"Nov 26, 2019","46.66","46.67","46.74","46.56","736.62K","-0.09%"
"Nov 25, 2019","46.70","46.84","46.84","46.42","1.04M","-0.17%"
"Nov 22, 2019","46.78","46.91","46.91","46.74","502.59K","0.06%"
"Nov 21, 2019","46.75","46.74","46.92","46.66","867.66K","0.09%"
"Nov 20, 2019","46.71","46.65","46.77","46.52","832.17K","0.17%"
"Nov 19, 2019","46.63","46.73","46.78","46.61","764.90K","-0.17%"
"Nov 18, 2019","46.71","46.72","46.88","46.62","450.84K","-0.09%"
"Nov 15, 2019","46.75","46.73","46.85","46.62","418.95K","0.32%"
"Nov 14, 2019","46.60","46.70","46.72","46.56","392.43K","-0.21%"
"Nov 13, 2019","46.70","46.76","46.80","46.66","404.05K","-0.21%"
"Nov 12, 2019","46.80","46.80","46.84","46.64","494.67K","-0.09%"
"Nov 11, 2019","46.84","46.71","46.92","46.67","248.41K","0.04%"
"Nov 08, 2019","46.82","46.73","46.90","46.60","413.33K","0.11%"
"Nov 07, 2019","46.77","46.90","46.98","46.72","438.95K","-0.28%"
"Nov 06, 2019","46.90","46.98","46.98","46.80","413.11K","-0.21%"
"Nov 05, 2019","47.00","46.94","47.13","46.87","1.16M","0.41%"
"Nov 04, 2019","46.81","47.17","47.20","46.78","557.35K","-0.43%"
"Nov 01, 2019","47.01","47.15","47.25","46.90","971.69K","-0.13%"
"Oct 31, 2019","47.07","46.85","47.35","46.73","1.17M","0.32%"
"Oct 30, 2019","46.92","46.60","46.98","46.56","1.10M","0.71%"
"Oct 29, 2019","46.59","46.58","46.67","46.47","1.16M","0.06%"
"Oct 28, 2019","46.56","46.71","46.87","46.37","1.45M","-0.75%"
"Oct 25, 2019","46.91","46.40","46.94","46.33","1.21M","0.88%"
"Oct 24, 2019","46.50","46.19","46.72","46.06","1.70M","0.87%"
"Oct 23, 2019","46.10","46.20","46.21","46.09","816.00K","-0.22%"
"Oct 22, 2019","46.20","46.25","46.30","46.15","988.45K","-0.11%"
"Oct 21, 2019","46.25","46.37","46.49","46.15","696.85K","0.02%"
"Oct 18, 2019","46.24","46.70","46.74","46.04","2.00M","-1.09%"
"Oct 17, 2019","46.75","46.70","46.80","46.49","536.57K","0.19%"
"Oct 16, 2019","46.66","46.90","47.01","46.43","2.47M","-0.72%"
"Oct 15, 2019","47.00","46.90","47.08","46.70","1.73M","0.13%"
"Oct 14, 2019","46.94","46.60","46.95","45.85","1.67M","0.86%"
"Oct 11, 2019","46.54","45.49","46.84","45.49","8.39M","1.97%"
"Oct 10, 2019","45.64","45.76","46.00","45.10","20.95M","101.06%"
"Oct 09, 2019","22.70","22.86","23.12","22.57","264.25K","0.35%"
"Oct 08, 2019","22.62","22.89","23.00","22.25","273.43K","-2.16%"
"Oct 07, 2019","23.12","24.15","24.15","23.10","451.49K","-4.34%"
"Oct 04, 2019","24.17","23.76","24.20","23.29","727.06K","2.29%"
"Oct 03, 2019","23.63","23.42","24.14","23.37","389.93K","0.60%"
"Oct 02, 2019","23.49","22.53","24.16","22.39","419.76K","3.89%"
"Oct 01, 2019","22.61","23.58","24.22","22.41","754.94K","-4.40%"
"Sep 30, 2019","23.65","24.15","24.73","23.53","473.89K","-1.46%"
"Sep 27, 2019","24.00","24.85","24.97","23.65","808.10K","-3.69%"
"Sep 26, 2019","24.92","24.61","25.18","24.25","468.92K","1.80%"
"Sep 25, 2019","24.48","24.46","24.72","23.99","662.09K","-0.04%"
"Sep 24, 2019","24.49","26.14","26.59","23.63","587.78K","-5.33%"
"Sep 23, 2019","25.87","25.56","26.17","25.42","333.68K","1.21%"
"Sep 20, 2019","25.56","25.16","25.68","24.40","1.02M","1.55%"
"Sep 19, 2019","25.17","25.64","26.25","25.06","366.85K","-2.33%"
"Sep 18, 2019","25.77","25.71","26.00","24.57","353.45K","0.59%"
"Sep 17, 2019","25.62","24.76","25.94","24.26","290.97K","3.68%"
"Sep 16, 2019","24.71","25.40","25.70","24.25","568.44K","-3.85%"
"Sep 13, 2019","25.70","25.04","25.91","24.84","360.74K","2.55%"
"Sep 12, 2019","25.06","25.66","26.08","24.95","345.84K","-1.92%"
"Sep 11, 2019","25.55","25.41","25.86","24.93","352.45K","1.35%"
"Sep 10, 2019","25.21","24.93","25.77","24.31","345.60K","0.44%"
"Sep 09, 2019","25.10","25.84","26.32","24.92","307.90K","-2.86%"
"Sep 06, 2019","25.84","26.67","27.20","25.77","261.89K","-3.11%"
"Sep 05, 2019","26.67","26.02","26.89","25.16","271.25K","3.45%"
"Sep 04, 2019","25.78","26.13","26.43","25.58","304.06K","-0.81%"
"Sep 03, 2019","25.99","26.95","27.86","25.87","289.63K","-4.45%"
"Aug 30, 2019","27.20","28.57","28.74","26.95","274.66K","-4.76%"
"Aug 29, 2019","28.56","28.89","28.89","27.86","216.23K","0.25%"
"Aug 28, 2019","28.49","27.34","28.55","27.06","405.08K","3.49%"
"Aug 27, 2019","27.53","28.10","28.67","27.35","212.79K","-1.64%"
"Aug 26, 2019","27.99","28.12","28.48","27.48","308.83K","0.90%"
